city_id,city,listing_id,listing_desc,url,product_code,review_id,user_alias,user_location,review_rating,review_timestamp
g303506,Rio de Janeiro,d11480504,Get an in-depth look at Rio’s Rochina Favela with a local guide. This 4-hour walking tour gives visitors a closer look at the daily life in a favela and the struggles that residents face. Learn the history of the... ,https://www.tripadvisor.com/AttractionProductDetail-g303506-d11480504-Rocinha_Favela_Walking_Tour-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html,TAP|MlM1XzMwNzM1UDFfSWx6,597149327,tk2x,San Francisco,5.0,17/07/2018
g303506,Rio de Janeiro,d11480504,Get an in-depth look at Rio’s Rochina Favela with a local guide. This 4-hour walking tour gives visitors a closer look at the daily life in a favela and the struggles that residents face. Learn the history of the... ,https://www.tripadvisor.com/AttractionProductDetail-g303506-d11480504-Rocinha_Favela_Walking_Tour-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html,TAP|MlM1XzMwNzM1UDFfSWx6,592865484,ronaldmO3291CZ,NA,5.0,03/07/2018
g303506,Rio de Janeiro,d11480504,Get an in-depth look at Rio’s Rochina Favela with a local guide. This 4-hour walking tour gives visitors a closer look at the daily life in a favela and the struggles that residents face. Learn the history of the... ,https://www.tripadvisor.com/AttractionProductDetail-g303506-d11480504-Rocinha_Favela_Walking_Tour-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html,TAP|MlM1XzMwNzM1UDFfSWx6,587721858,Arsen Z,NA,5.0,15/06/2018
g303506,Rio de Janeiro,d11480504,Get an in-depth look at Rio’s Rochina Favela with a local guide. This 4-hour walking tour gives visitors a closer look at the daily life in a favela and the struggles that residents face. Learn the history of the... ,https://www.tripadvisor.com/AttractionProductDetail-g303506-d11480504-Rocinha_Favela_Walking_Tour-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html,TAP|MlM1XzMwNzM1UDFfSWx6,584808275,Jaie C,NA,5.0,03/06/2018
g303506,Rio de Janeiro,d12152822,"As one of the New7Wonders of the World and Rio de Janeiro’s most iconic attraction, the Statue of Christ the Redeemer attracts lengthy lines. Don’t waste time waiting, save time with this skip-the-line ticket that... ",https://www.tripadvisor.com/AttractionProductDetail-g303506-d12152822-Skip_the_Line_Christ_the_Redeemer_Admission_Ticket-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html,TAP|UkFxXzM2MDgwUDFfSHRu,596163725,r71418,"Rio de Janeiro, RJ",1.0,14/07/2018
g303506,Rio de Janeiro,d12152822,"As one of the New7Wonders of the World and Rio de Janeiro’s most iconic attraction, the Statue of Christ the Redeemer attracts lengthy lines. Don’t waste time waiting, save time with this skip-the-line ticket that... ",https://www.tripadvisor.com/AttractionProductDetail-g303506-d12152822-Skip_the_Line_Christ_the_Redeemer_Admission_Ticket-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html,TAP|UkFxXzM2MDgwUDFfSHRu,592433100,W7356DIjerryc,"summerville, sc, United States",5.0,02/07/2018
g303506,Rio de Janeiro,d12152822,"As one of the New7Wonders of the World and Rio de Janeiro’s most iconic attraction, the Statue of Christ the Redeemer attracts lengthy lines. Don’t waste time waiting, save time with this skip-the-line ticket that... ",https://www.tripadvisor.com/AttractionProductDetail-g303506-d12152822-Skip_the_Line_Christ_the_Redeemer_Admission_Ticket-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html,TAP|UkFxXzM2MDgwUDFfSHRu,583840163,Kamran N,"Tehran, Iran",5.0,30/05/2018
g303506,Rio de Janeiro,d12152822,"As one of the New7Wonders of the World and Rio de Janeiro’s most iconic attraction, the Statue of Christ the Redeemer attracts lengthy lines. Don’t waste time waiting, save time with this skip-the-line ticket that... ",https://www.tripadvisor.com/AttractionProductDetail-g303506-d12152822-Skip_the_Line_Christ_the_Redeemer_Admission_Ticket-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html,TAP|UkFxXzM2MDgwUDFfSHRu,565572380,iFlyingto,paris,5.0,10/03/2018
g303506,Rio de Janeiro,d12152822,"As one of the New7Wonders of the World and Rio de Janeiro’s most iconic attraction, the Statue of Christ the Redeemer attracts lengthy lines. Don’t waste time waiting, save time with this skip-the-line ticket that... ",https://www.tripadvisor.com/AttractionProductDetail-g303506-d12152822-Skip_the_Line_Christ_the_Redeemer_Admission_Ticket-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html,TAP|UkFxXzM2MDgwUDFfSHRu,559378487,Subiranes,"Montevideo, Uruguay",4.0,09/02/2018
g303506,Rio de Janeiro,d11465614,"Summit both Corcovado and Sugar Loaf mountains in the early morning to beat the crowds on this 5-hour tour in Rio de Janeiro. After bright and early pickup from your Rio hotel, travel through the Tijuca National... ",https://www.tripadvisor.com/AttractionProductDetail-g303506-d11465614-Christ_Redeemer_and_Sugar_Loaf_Mountain_Small_Group_Tour-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html,TAP|bDIxXzIxNTEzUDJfR2ZF,597683777,Carolyn A,NA,5.0,19/07/2018
