scan_date,city_id,city,listing_id,listing_desc,url,review_count,by,price_from,strike_thru_price,is_special_offer
2018-07-29,g304560,Recife,d12218285,"Enjoy a hassle-free arrival in Recife with this private arrival transfer service to Cabo de Santo Agostinho. Meet your driver at Airport Internacional dos Guararapes Recife, then relax on the journey to your hotel... ",https://www.tripadvisor.com/AttractionProductDetail-g304560-d12218285-Arrival_Transfer_from_Recife_Airport_to_Cabo_de_Santo_Agostinho-Recife_State_of_Pernambuco.html,0,Uluwatour Viagens & Receptivos,37.5,0, 
2018-07-29,g304560,Recife,NA,NA,https://www.tripadvisor.com,0,Uluwatour Viagens & Receptivos,37.5,0, 
2018-07-29,g304560,Recife,d12218276,"Spend your time at beautiful Praia dos Carneiros, a private beach in southern Pernambuco. This day trip from Recife includes a 2-hour boat tour to an island, reefs and mangroves, before you enjoy two hours at... ",https://www.tripadvisor.com/AttractionProductDetail-g304560-d12218276-Day_Trip_to_Praia_dos_Carneiros_from_Boa_Viagem_Pina_or_Piedade-Recife_State_of_Pernambuco.html,0,Uluwatour Viagens & Receptivos,75.0,0, 
2018-07-29,g304560,Recife,d12218292,"Head out on a 5-day excursion to Recife and its surroundings and explore its historical and natural attractions. Take a boat tour on the river, walk around the historic quarter, and visit one of the most important... ",https://www.tripadvisor.com/AttractionProductDetail-g304560-d12218292-5_Day_Pernambuco_Tour_from_Recife-Recife_State_of_Pernambuco.html,0,Uluwatour Viagens & Receptivos,375.0,0, 
2018-07-29,g304560,Recife,d12218296,"Explore the ‘Venice of Brazil’ on a small-group city tour of Recife. Visit landmarks such as the Park of Statues, Casa da Cultura, Marco Zero Square, and more. Learn about the history of this coastal city from your... ",https://www.tripadvisor.com/AttractionProductDetail-g304560-d12218296-Small_Group_City_Tour_of_Recife_Including_the_Park_of_Statues-Recife_State_of_Pernambuco.html,0,Uluwatour Viagens & Receptivos,62.5,0, 
2018-07-29,g304560,Recife,d11462335,"Enhance your experience of vibrant Brazilian cities, Recife and Olinda, on an enriching full-day tour from Porto de Galinhas. With a knowledgeable guide, visit arresting Recife landmarks like Boa Viagem Beach and... ",https://www.tripadvisor.com/AttractionProductDetail-g303461-d11462335-City_Tour_of_Recife_and_Olinda_from_Porto_de_Galinhas-Porto_de_Galinhas_Ipojuca_State_of_Pernambuco.html,1,Receptivo Up,53.0,0, 
2018-07-29,g304560,Recife,d12218279,"Arrange for a stress-free ride from Praia dos Carneiros to the Recife International Airport with this transfer service. Meet your driver at your hotel or private residence in Praia dos Carneiros, then relax on the... ",https://www.tripadvisor.com/AttractionProductDetail-g304560-d12218279-Departure_Transfer_from_Praia_dos_Carneiros_to_Recife_Airport-Recife_State_of_Pernambuco.html,0,Uluwatour Viagens & Receptivos,50.0,0, 
2018-07-29,g304560,Recife,d12218283,"Transfers from the International Airport of Recife to all hotels in Praia dos Carneiros in a double air-conditioned vehicle which has tv, dvd, wifi. This service will offer you safety, punctuality and comfort. You... ",https://www.tripadvisor.com/AttractionProductDetail-g304560-d12218283-Arrival_Transfer_from_Recife_Airport_to_Praia_dos_Carneiros-Recife_State_of_Pernambuco.html,0,Uluwatour Viagens & Receptivos,37.5,0, 
2018-07-29,g304560,Recife,d12218291,"Explore the Ricardo Brennand Institute during this 5-hour tour in Recife. Follow an audio guide through the world-class art collection, including one of the world's largest weapons collections and a significant... ",https://www.tripadvisor.com/AttractionProductDetail-g304560-d12218291-Half_Day_Tour_Oficina_Francisco_Brennand_and_Ricardo_Brennand_Institute_plus_Park_of_Sculptures_in_Recife-Recife_State_of_Pernambuco.html,3,Uluwatour Viagens & Receptivos,68.75,0, 
2018-07-29,g312848,San Carlos de Bariloche,d11995320,"With just one day in Punta Arenas, this full-day tour ensures you check off all the highlights. Spend the morning exploring the coast of the Magellan Strait, stopping at historic sites such as Fort Bulnes, Mansa,... ",https://www.tripadvisor.com/AttractionProductDetail-g297401-d11995320-Full_Day_Punta_Arenas_and_Magellan_Strait_Tour-Punta_Arenas_Magallanes_Region.html,6,Tours Punta Arenas - Day Tours,140.0,0, 
